Segment,IOU,Precision,Recall,F1 Score
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf1.ply,0.7569352708058125,0.8995290423861853,0.8268398268398268,0.8616541353383459
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf2.ply,0.1792452830188679,0.27941176470588236,0.3333333333333333,0.304
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_stem.ply,0.03980099502487562,0.11764705882352941,0.05673758865248227,0.07655502392344497
Average,0.3253,0.4322,0.4056,0.4141
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf1.ply,0.8,0.8879492600422833,0.8898305084745762,0.888888888888889
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf2.ply,0.18333333333333332,0.3142857142857143,0.3055555555555556,0.3098591549295775
Average,0.4917,0.6011,0.5977,0.5994
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf1.ply,0.56,0.7424242424242424,0.6950354609929078,0.717948717948718
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf2.ply,0.0975609756097561,0.14814814814814814,0.2222222222222222,0.17777777777777776
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_stem.ply,0.023809523809523808,0.03787878787878788,0.060240963855421686,0.04651162790697675
Average,0.2271,0.3095,0.3258,0.3141
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf1.ply,0.8,0.8847926267281107,0.8930232558139535,0.8888888888888888
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf2.ply,0.27692307692307694,0.42857142857142855,0.43902439024390244,0.4337349397590361
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_stem.ply,0.061386138613861385,0.07142857142857142,0.30392156862745096,0.11567164179104475
Average,0.3794,0.4616,0.5453,0.4794
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf1.ply,0.7914691943127962,0.8391959798994975,0.9329608938547486,0.8835978835978835
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf2.ply,0.09852216748768473,0.10050251256281408,0.8333333333333334,0.17937219730941706
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_stem.ply,0.014084507042253521,0.020100502512562814,0.0449438202247191,0.027777777777777776
Average,0.3014,0.3199,0.6037,0.3636
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf1.ply,0.20512820512820512,0.23300970873786409,0.631578947368421,0.34042553191489366
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf2.ply,0.23809523809523808,0.24271844660194175,0.9259259259259259,0.38461538461538464
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_stem.ply,0.2611111111111111,0.4563106796116505,0.3790322580645161,0.41409691629955947
Average,0.2348,0.3107,0.6455,0.3797
