Segment,IOU,Precision,Recall,F1 Score
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf1.ply,0.51,1.0,0.51,0.6754966887417219
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf2.ply,0.2651162790697674,0.2651162790697674,1.0,0.4191176470588235
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_stem.ply,0.05637982195845697,0.08837209302325581,0.1347517730496454,0.10674157303370788
Average,0.2772,0.4512,0.5483,0.4005
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf1.ply,0.37083333333333335,0.994413407821229,0.37160751565762007,0.541033434650456
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf2.ply,0.14979757085020243,0.15040650406504066,0.9736842105263158,0.2605633802816902
Average,0.2603,0.5724,0.6726,0.4008
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf1.ply,0.42657342657342656,1.0,0.42657342657342656,0.5980392156862745
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf2.ply,0.8,1.0,0.8,0.888888888888889
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_stem.ply,0.03125,0.06097560975609756,0.060240963855421686,0.06060606060606061
Average,0.4193,0.687,0.4289,0.5158
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf1.ply,0.43287037037037035,1.0,0.43287037037037035,0.6042003231017771
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf2.ply,0.1659919028340081,0.1673469387755102,0.9534883720930233,0.2847222222222222
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_stem.ply,0.18,0.36,0.2647058823529412,0.30508474576271183
Average,0.2596,0.5091,0.5504,0.398
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf1.ply,0.3917525773195876,0.8351648351648352,0.4245810055865922,0.562962962962963
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf2.ply,0.19540229885057472,0.2125,0.7083333333333334,0.32692307692307687
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_stem.ply,0.022727272727272728,0.04395604395604396,0.0449438202247191,0.044444444444444446
Average,0.2033,0.3639,0.3926,0.3114
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf1.ply,0.2318840579710145,0.3404255319148936,0.42105263157894735,0.3764705882352941
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf2.ply,0.6756756756756757,0.7142857142857143,0.9259259259259259,0.8064516129032259
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_stem.ply,0.20422535211267606,0.6170212765957447,0.23387096774193547,0.3391812865497076
Average,0.3706,0.5572,0.5269,0.5074
