Segment,IOU,Precision,Recall,F1 Score
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf1.ply,0.49714285714285716,1.0,0.49714285714285716,0.6641221374045801
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf2.ply,0.34545454545454546,0.34545454545454546,1.0,0.5135135135135135
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_stem.ply,0.06620209059233449,0.11515151515151516,0.1347517730496454,0.12418300653594772
Average,0.3029,0.4869,0.544,0.4339
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf1.ply,0.6597077244258872,1.0,0.6597077244258872,0.7949685534591194
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf2.ply,0.2605633802816901,0.2624113475177305,0.9736842105263158,0.4134078212290503
Average,0.4601,0.6312,0.8167,0.6042
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf1.ply,0.5944055944055944,1.0,0.5944055944055944,0.7456140350877193
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf2.ply,0.288135593220339,0.30357142857142855,0.85,0.4473684210526316
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_stem.ply,0.03731343283582089,0.08928571428571429,0.060240963855421686,0.07194244604316546
Average,0.3066,0.4643,0.5015,0.4216
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf1.ply,0.7916666666666666,1.0,0.7916666666666666,0.8837209302325582
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf2.ply,0.9534883720930233,1.0,0.9534883720930233,0.9761904761904763
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_stem.ply,0.18947368421052632,0.2903225806451613,0.35294117647058826,0.3185840707964602
Average,0.6449,0.7634,0.6994,0.7262
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf1.ply,0.3412322274881517,0.6923076923076923,0.4022346368715084,0.5088339222614842
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf2.ply,0.18518518518518517,0.19230769230769232,0.8333333333333334,0.3125
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_stem.ply,0.021164021164021163,0.038461538461538464,0.0449438202247191,0.04145077720207254
Average,0.1825,0.3077,0.4268,0.2876
