Segment,IOU,Precision,Recall,F1 Score
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf1.ply,0.44571428571428573,1.0,0.44571428571428573,0.616600790513834
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf2.ply,0.27014218009478674,0.27014218009478674,1.0,0.4253731343283582
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_stem.ply,0.057057057057057055,0.09004739336492891,0.1347517730496454,0.10795454545454544
Average,0.2576,0.4534,0.5268,0.3833
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf1.ply,0.54375,1.0,0.54375,0.7044534412955465
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf2.ply,0.42528735632183906,0.43023255813953487,0.9736842105263158,0.596774193548387
Average,0.4845,0.7151,0.7587,0.6506
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf1.ply,0.46153846153846156,1.0,0.46153846153846156,0.631578947368421
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf2.ply,0.3617021276595745,0.38636363636363635,0.85,0.53125
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_stem.ply,0.040983606557377046,0.11363636363636363,0.060240963855421686,0.07874015748031496
Average,0.2881,0.5,0.4573,0.4139
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf1.ply,0.4837962962962963,1.0,0.4837962962962963,0.6521060842433697
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf2.ply,0.3253968253968254,0.33064516129032256,0.9534883720930233,0.49101796407185627
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_stem.ply,0.18947368421052632,0.2903225806451613,0.35294117647058826,0.3185840707964602
Average,0.3329,0.5403,0.5967,0.4872
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf1.ply,0.45251396648044695,1.0,0.45251396648044695,0.6230769230769231
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf2.ply,0.35714285714285715,0.38461538461538464,0.8333333333333334,0.5263157894736842
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_stem.ply,0.029197080291970802,0.07692307692307693,0.0449438202247191,0.05673758865248227
Average,0.2796,0.4872,0.4436,0.402
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf1.ply,0.46153846153846156,0.631578947368421,0.631578947368421,0.631578947368421
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf2.ply,0.27450980392156865,0.3684210526315789,0.5185185185185185,0.4307692307692308
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_stem.ply,0.20422535211267606,0.6170212765957447,0.23387096774193547,0.3391812865497076
Average,0.3134,0.539,0.4613,0.4672
