Segment,IOU,Precision,Recall,F1 Score
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf1.ply,0.2937771345875543,1.0,0.2937771345875543,0.4541387024608501
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_leaf2.ply,0.18596491228070175,0.18861209964412812,0.9298245614035088,0.3136094674556213
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S1/gt_pcd/S1_trim_stem.ply,0.06164383561643835,0.5625,0.06474820143884892,0.11612903225806452
Average,0.1805,0.5837,0.4294,0.2946
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf1.ply,0.9208333333333333,1.0,0.9208333333333333,0.9587852494577006
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S2/gt_pcd/S2_trimmed_leaf2.ply,0.39325842696629215,0.40229885057471265,0.9459459459459459,0.5645161290322581
Average,0.657,0.7011,0.9334,0.7617
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf1.ply,0.7428571428571429,1.0,0.7428571428571429,0.8524590163934427
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_leaf2.ply,0.34782608695652173,0.38095238095238093,0.8,0.5161290322580645
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S3/gt_pcd/S3_trimmed_stem.ply,0.041666666666666664,0.11904761904761904,0.060240963855421686,0.08
Average,0.3774,0.5,0.5344,0.4829
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf1.ply,0.289044289044289,0.9763779527559056,0.29107981220657275,0.44846292947558763
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_leaf2.ply,0.32231404958677684,0.3333333333333333,0.9069767441860465,0.4875
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S4/gt_pcd/S4_trimmed_stem.ply,0.1783783783783784,0.28205128205128205,0.32673267326732675,0.30275229357798167
Average,0.2632,0.5306,0.5083,0.4129
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf1.ply,0.48295454545454547,1.0,0.48295454545454547,0.6513409961685824
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_leaf2.ply,0.38095238095238093,0.45714285714285713,0.6956521739130435,0.5517241379310345
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S5/gt_pcd/S5_trimmed_stem.ply,0.03333333333333333,0.11428571428571428,0.0449438202247191,0.06451612903225808
Average,0.2991,0.5238,0.4079,0.4225
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf1.ply,0.20869565217391303,0.2376237623762376,0.631578947368421,0.34532374100719426
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_leaf2.ply,0.23076923076923078,0.2376237623762376,0.8888888888888888,0.375
/usr/mvl2/lgsm2n/ULProj/pcd_dataset/S6/gt_pcd/S6_trimmed_stem.ply,0.25842696629213485,0.45544554455445546,0.37398373983739835,0.4107142857142857
Average,0.2326,0.3102,0.6315,0.377
